family,alignment,format_condition,task,pair_id,layer,relative_depth,c_v,c_a,c_v_zero,c_a_zero
llama,base,plain,reader,pair_826,0,0.0,0.0003336999558953835,0.00018127789029520613,0.017238058664243994,0.007009403793678537
llama,base,plain,reader,pair_829,0,0.0,0.00044523947822661114,5.509766585287679e-05,0.01608365915414378,0.0022537254036043564
llama,base,plain,reader,pair_837,0,0.0,0.0003172273340101839,0.0004112907116420317,0.020084311533702603,0.008431106935799626
llama,base,plain,reader,pair_845,0,0.0,0.0005720916740168391,0.0002471920600504163,0.01911798471408055,0.006733554645488304
llama,base,plain,reader,pair_849,0,0.0,0.0011643168652906155,0.00047394490128116473,0.018720976475658624,0.00632098692426819
llama,base,plain,reader,pair_859,0,0.0,0.0009520031428200681,9.662756948802809e-05,0.01999393943944927,0.00792792135777276
llama,base,plain,reader,pair_865,0,0.0,4.8225244324129335e-05,0.0010203114751705655,0.017534132578473027,0.005734726958293912
llama,base,plain,reader,pair_866,0,0.0,0.0012968953489327362,0.0006625780927640434,0.019404533231593746,0.007695681943024724
llama,base,plain,reader,pair_867,0,0.0,0.0006321977622700814,0.0007657170343549069,0.02487260064125163,0.011088489793608325
llama,base,plain,reader,pair_879,0,0.0,0.0007651849184204806,0.0013153688276368314,0.022199056972636022,0.008229484055427783
llama,base,plain,reader,pair_883,0,0.0,0.00023213973083091588,0.0003276598790105112,0.021335002234309286,0.00838329222181411
llama,base,plain,reader,pair_884,0,0.0,0.001167004280163475,0.0003210935545459037,0.019717233504875864,0.008549720147444262
llama,base,plain,reader,pair_892,0,0.0,0.0003369867245686109,0.0002601394750643138,0.019523192198679595,0.0072697764256561825
llama,base,plain,reader,pair_893,0,0.0,0.00039020276264345455,6.452669525902621e-05,0.019390092179673246,0.006873363431595614
llama,base,plain,reader,pair_899,0,0.0,0.000611922224063477,0.00027376744151297316,0.019723158019489873,0.008182009316286099
llama,base,plain,reader,pair_901,0,0.0,0.00011161031602835436,2.466603525874689e-07,0.01609995953991561,0.006380587399544169
llama,base,plain,reader,pair_902,0,0.0,0.00045649096608446627,0.0001997533798663298,0.01956865522333473,0.00814432719543845
llama,base,plain,reader,pair_914,0,0.0,0.0003416383568346504,5.2392009136426054e-05,0.017863514730572128,0.006126493643612285
llama,base,plain,reader,pair_917,0,0.0,0.0009192815445899782,0.0004094366961995277,0.013229955683869754,0.004313449205731956
llama,base,plain,reader,pair_924,0,0.0,0.0010764015348909695,0.00020921510967397694,0.014424399572739333,0.0038719224659553575
llama,base,plain,reader,pair_936,0,0.0,0.0010232345081062633,0.0006652639854234366,0.014325401074542832,0.0037190053200726325
llama,base,plain,reader,pair_938,0,0.0,0.0008526348379112036,0.0013019591081553372,0.020426101296877164,0.007186928111165614
llama,base,plain,reader,pair_941,0,0.0,0.000938925447804273,0.0007203259172587906,0.018934422718609234,0.005902813262787632
llama,base,plain,reader,pair_942,0,0.0,0.0005954627325799322,0.0009669422803586514,0.016451244417909017,0.004405944398006234
llama,base,plain,reader,pair_947,0,0.0,0.0017731010878154763,0.0003960128010174202,0.017223804303279522,0.007154340368711765
llama,base,plain,reader,pair_948,0,0.0,0.00011294200949851785,0.00019105788000839397,0.023974483934936508,0.010495957329879069
llama,base,plain,reader,pair_959,0,0.0,0.0010058170481048734,2.1042086305378405e-05,0.013299706699509528,0.0037245517028736685
llama,base,plain,reader,pair_973,0,0.0,0.001291539076262005,2.8009785300042722e-06,0.01742538509376068,0.006799781218174594
llama,base,plain,reader,pair_974,0,0.0,6.648863306857322e-05,0.00019819346929050852,0.01502257822007902,0.004818730435776963
llama,base,plain,reader,pair_977,0,0.0,0.0006053181914165151,0.00020256230238668849,0.018716896422001916,0.00791413186156209
llama,base,plain,reader,pair_978,0,0.0,0.00040551180589609714,0.00014324833395562564,0.01864754133225155,0.004972520065693153
llama,base,plain,reader,pair_985,0,0.0,5.424116279328928e-05,0.0002118968604980509,0.0213826863152633,0.009508688872670312
llama,base,plain,reader,pair_986,0,0.0,0.0011343729702621985,0.0001290564248321857,0.01559495189839133,0.006758670575870873
llama,base,plain,reader,pair_989,0,0.0,2.261723714980235e-05,0.00027570152382683233,0.01585540916479733,0.006408527376279949
llama,base,plain,reader,pair_995,0,0.0,0.0003800836057026302,0.00027103972898512296,0.02109839174734951,0.007181536788801068
