layer,direction,UB_V,UB_A,UB_WC,r2_direct,ibc_V_direct,ibc_A_direct,ibc_WC_direct,r2_ortho,ibc_V_ortho,ibc_A_ortho,ibc_WC_ortho,r2_ridge,ibc_V_ridge,ibc_A_ridge,ibc_WC_ridge
9,Inst2Base,0.07162162420683282,0.2557084142410857,0.8798830243411825,-161.3954620361328,0.05505571072453294,0.2648083792328052,0.9000863515544975,-2.853405714035034,0.04451272306363328,0.28557146146240103,0.9348749057150347,0.4992501139640808,0.09606935345488012,0.3053005589484819,0.8707182830165162
10,Base2Inst,-0.07673360163809538,-0.2421165518002889,0.9316650116777611,-251.6175994873047,-0.06432681224167264,-0.1633890800338283,0.6037007857878651,-7.847354888916016,0.019148175716778546,-0.13688596890323715,0.8530255445865684,0.5300371050834656,0.09393331893994393,-0.23197391847412763,0.9269697702880246
10,Inst2Base,0.09500202631852589,0.2908524925980646,0.8999998826383995,-154.95428466796875,0.12387678508116284,0.2984851510891119,0.868319453016574,-4.462280750274658,0.08274503941370041,0.33133679131322863,0.9269998021039338,0.4990987479686737,0.1364843891218667,0.33472448531884114,0.8727400722943097
11,Base2Inst,0.0625387763069739,-0.17006402499522683,0.9185038475494944,-193.37564086914062,0.10269865794919081,-0.11289972741843439,0.8020636498787034,-5.85518741607666,0.0861384577830849,-0.09989725684574316,0.8884219699661585,0.483760267496109,0.18335380626709735,-0.17391354880573306,0.9364822705264663
11,Inst2Base,0.06799884836223642,0.34385509178686813,0.9240775943089268,-144.55039978027344,-0.027118553357551534,0.232029328785619,0.8540506553641398,-4.135288715362549,0.09003038740441727,0.3835292071973306,0.8977774814886494,0.477014422416687,0.04587049506214301,0.3100974341438439,0.8752384019103502
12,Base2Inst,-0.0007999872546469225,-0.21880275694143647,0.9322200391980339,-159.72467041015625,0.08669315492452978,-0.16527073120636224,0.7626743902567343,-0.04218118265271187,0.1704897473175277,-0.11603546293398169,0.8644199513679734,0.46196770668029785,0.21086741781179819,-0.1654825968387234,0.9351620285431843
12,Inst2Base,0.06163112961879607,0.2853255003729813,0.9151743156859434,-135.588623046875,-0.08909441797567084,0.25870870555767383,0.803233469645512,0.11665119230747223,0.026988488919920683,0.335375782187497,0.914065918005833,0.5074777603149414,0.004498384814483976,0.2167803051136064,0.8932013717978939
13,Base2Inst,-0.028148343304305722,-0.19127887815264324,0.915688835017182,-164.92178344726562,-0.006192015870832076,-0.09834474204360445,0.7336038272265248,-1.7423650026321411,0.16756005103275765,-0.12989780634166279,0.8580505780394059,0.47030189633369446,0.1522080732537752,-0.1845071619227216,0.9322467874941863
13,Inst2Base,0.07085413308481503,0.2744533958554312,0.9135973957302065,-133.58895874023438,-0.11000638241954402,0.21247017042250482,0.7420338764253194,-1.2260068655014038,-0.03712706131440116,0.3226427733600262,0.8878814587143415,0.4792928695678711,-0.021487625889549646,0.19614312478169157,0.8888385184760791
14,Base2Inst,-0.013274280380825017,-0.18604773508564507,0.9200517975040399,-159.6080780029297,0.04897907720925744,0.05430114593462464,0.8192053622156733,-0.5974292755126953,0.14518763833624204,-0.11403121453308972,0.8839963605121276,0.4767429232597351,0.15824248039516078,-0.1362638044506121,0.9337283120297911
