pair_id,task,site_type,site_layer,impact
P_amazement-d6-v1,Reader,SelfSite,10,1.5987681363893
P_amazement-d6-v1,Self,SelfSite,10,1.6916546648099064
P_amazement-d6-v4,Reader,ReaderSite,1,0.2803806229174679
P_amazement-d6-v4,Self,ReaderSite,1,0.04724746254542378
P_amazement-d6-v4,Reader,SelfSite,10,2.6499007906434624
P_amazement-d6-v4,Self,SelfSite,10,1.703332784033257
P_admiration-d5-v1,Reader,ReaderSite,1,1.6716869961821574
P_admiration-d5-v1,Self,ReaderSite,1,1.0002204689391556
P_admiration-d5-v1,Reader,SelfSite,10,2.0644360764024237
P_admiration-d5-v1,Self,SelfSite,10,1.3787021561854136
P_admiration-d5-v3,Reader,ReaderSite,1,2.0935495090310914
P_admiration-d5-v3,Self,ReaderSite,1,1.3355223583999152
P_admiration-d5-v3,Reader,SelfSite,10,2.2405421905344256
P_admiration-d5-v3,Self,SelfSite,10,1.5326332097309927
P_admiration-d6-v1,Reader,ReaderSite,1,3.2018333765927975
P_admiration-d6-v1,Self,ReaderSite,1,2.668863045906191
P_admiration-d6-v1,Reader,SelfSite,10,2.4676066274544697
P_admiration-d6-v1,Self,SelfSite,10,1.603536693518127
P_admiration-d6-v2,Reader,ReaderSite,1,1.066061958630966
P_admiration-d6-v2,Self,ReaderSite,1,0.5206262700716815
P_admiration-d6-v2,Reader,SelfSite,10,2.063649094484893
P_admiration-d6-v2,Self,SelfSite,10,1.5554363466442593
P_admiration-d6-v3,Reader,ReaderSite,1,0.3751932952410586
P_admiration-d6-v3,Self,ReaderSite,1,1.0866276777990693
P_admiration-d6-v3,Reader,SelfSite,10,1.9195151480786938
P_admiration-d6-v3,Self,SelfSite,10,1.087939158180586
P_admiration-d6-v4,Reader,ReaderSite,1,0.4027299127051922
P_admiration-d6-v4,Self,ReaderSite,1,1.159034890767654
P_admiration-d6-v4,Reader,SelfSite,10,2.4747376166832895
P_admiration-d6-v4,Self,SelfSite,10,1.870699282556929
P_vigilance-d4-v2,Reader,ReaderSite,1,0.21763364369788896
P_vigilance-d4-v2,Self,ReaderSite,1,0.22419721374562052
P_vigilance-d4-v2,Reader,SelfSite,10,1.4595012883495517
P_vigilance-d4-v2,Self,SelfSite,10,1.0312581290271021
P_vigilance-d5-v2,Reader,ReaderSite,1,1.9669725337953552
P_vigilance-d5-v2,Self,ReaderSite,1,1.688952624548965
P_vigilance-d5-v2,Reader,SelfSite,10,1.25361262872266
P_vigilance-d5-v2,Self,SelfSite,10,1.117652914248358
P_vigilance-d5-v3,Reader,ReaderSite,1,1.5727913937057232
P_vigilance-d5-v3,Self,ReaderSite,1,0.0860895518601108
P_vigilance-d5-v3,Reader,SelfSite,10,2.759290761910289
P_vigilance-d5-v3,Self,SelfSite,10,1.7804631783861224
P_vigilance-d5-v4,Reader,ReaderSite,1,0.5148406205028415
P_vigilance-d5-v4,Self,ReaderSite,1,0.345272127283339
P_vigilance-d5-v4,Reader,SelfSite,10,1.2646320142329674
P_vigilance-d5-v4,Self,SelfSite,10,1.1361533073501437
