family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,instruct,inst_matched_plain_self,self,arousal,0.4,5.8258366956106754e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.4666666666666667,3.0467166907115485e-06
olmo,instruct,inst_matched_plain_self,self,arousal,0.5333333333333333,-5.0601713409674786e-06
olmo,instruct,inst_matched_plain_self,self,arousal,0.6,2.9266948819728356e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.6666666666666666,-1.6476678375210162e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.7333333333333333,1.0391761934071653e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.8,1.1512680194126546e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.8666666666666667,-2.910477191471994e-05
olmo,instruct,inst_matched_plain_self,self,arousal,0.9333333333333333,-2.5172368707929492e-05
olmo,instruct,inst_matched_plain_self,self,arousal,1.0,9.769962616701377e-18
olmo,instruct,inst_matched_self,self,valence,0.0,-9.23824206315258e-05
olmo,instruct,inst_matched_self,self,valence,0.06666666666666667,0.00014568122555697638
olmo,instruct,inst_matched_self,self,valence,0.13333333333333333,0.0001518653151479823
olmo,instruct,inst_matched_self,self,valence,0.2,-0.00011674685390294925
olmo,instruct,inst_matched_self,self,valence,0.26666666666666666,0.00010133122615310075
olmo,instruct,inst_matched_self,self,valence,0.3333333333333333,-6.857014532864003e-05
olmo,instruct,inst_matched_self,self,valence,0.4,-1.2386105926533552e-05
olmo,instruct,inst_matched_self,self,valence,0.4666666666666667,-3.3006652929636006e-05
olmo,instruct,inst_matched_self,self,valence,0.5333333333333333,-0.0001306546924169929
olmo,instruct,inst_matched_self,self,valence,0.6,2.1611745274848105e-05
olmo,instruct,inst_matched_self,self,valence,0.6666666666666666,-8.226261188620221e-05
olmo,instruct,inst_matched_self,self,valence,0.7333333333333333,-3.0158413352809888e-05
olmo,instruct,inst_matched_self,self,valence,0.8,-4.0841355486964657e-07
olmo,instruct,inst_matched_self,self,valence,0.8666666666666667,-1.358465174725154e-06
olmo,instruct,inst_matched_self,self,valence,0.9333333333333333,0.00011152503404576564
olmo,instruct,inst_matched_self,self,valence,1.0,1.865174681370263e-17
olmo,instruct,inst_matched_self,self,arousal,0.0,1.5012423242793282e-05
olmo,instruct,inst_matched_self,self,arousal,0.06666666666666667,9.834548143533794e-06
olmo,instruct,inst_matched_self,self,arousal,0.13333333333333333,1.9627492747455123e-05
olmo,instruct,inst_matched_self,self,arousal,0.2,1.2358287257814738e-05
olmo,instruct,inst_matched_self,self,arousal,0.26666666666666666,-3.2373600224477884e-06
olmo,instruct,inst_matched_self,self,arousal,0.3333333333333333,7.577050367309557e-05
olmo,instruct,inst_matched_self,self,arousal,0.4,5.8258366956106754e-05
olmo,instruct,inst_matched_self,self,arousal,0.4666666666666667,3.0467166907115485e-06
olmo,instruct,inst_matched_self,self,arousal,0.5333333333333333,-5.0601713409674786e-06
olmo,instruct,inst_matched_self,self,arousal,0.6,2.9266948819728356e-05
olmo,instruct,inst_matched_self,self,arousal,0.6666666666666666,-1.6476678375210162e-05
olmo,instruct,inst_matched_self,self,arousal,0.7333333333333333,1.0391761934071653e-05
olmo,instruct,inst_matched_self,self,arousal,0.8,1.1512680194126546e-05
olmo,instruct,inst_matched_self,self,arousal,0.8666666666666667,-2.910477191471994e-05
olmo,instruct,inst_matched_self,self,arousal,0.9333333333333333,-2.5172368707929492e-05
olmo,instruct,inst_matched_self,self,arousal,1.0,9.769962616701377e-18
olmo,instruct,inst_native_chat_reader,reader,valence,0.0,-7.761362745282074e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.06666666666666667,9.485148826139333e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.13333333333333333,-0.00016141389160090824
olmo,instruct,inst_native_chat_reader,reader,valence,0.2,-0.00022078719003471736
olmo,instruct,inst_native_chat_reader,reader,valence,0.26666666666666666,-0.0002179554160485493
olmo,instruct,inst_native_chat_reader,reader,valence,0.3333333333333333,-0.00023810228606691995
olmo,instruct,inst_native_chat_reader,reader,valence,0.4,-0.00011848165405945732
olmo,instruct,inst_native_chat_reader,reader,valence,0.4666666666666667,4.770216149273665e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.5333333333333333,4.265026413128137e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.6,3.6041261170191243e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.6666666666666666,-0.00019946669007124917
olmo,instruct,inst_native_chat_reader,reader,valence,0.7333333333333333,1.9129825177776284e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.8,-8.04835628085394e-05
olmo,instruct,inst_native_chat_reader,reader,valence,0.8666666666666667,-0.00014774749154780853
olmo,instruct,inst_native_chat_reader,reader,valence,0.9333333333333333,-1.277050647387945e-05
olmo,instruct,inst_native_chat_reader,reader,valence,1.0,3.1974423109204506e-17
olmo,instruct,inst_native_chat_reader,reader,arousal,0.0,-2.565328848247006e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.06666666666666667,-2.6614399672391543e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.13333333333333333,-5.745155314201611e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.2,9.844380733579073e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.26666666666666666,-7.000878590893045e-06
