model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
olmo_base,olmo,base,valence,0.0666666666666666,0.0,0.9914758527873808,0.0132560186973371
olmo_base,olmo,base,arousal,0.0666666666666666,0.0,0.9914758527873808,0.0176390355040957
olmo_base,olmo,base,valence,0.1333333333333333,0.0,0.9894003423977652,0.0133764097801634
olmo_base,olmo,base,arousal,0.1333333333333333,0.0,0.9894003423977652,0.0183788392587945
olmo_base,olmo,base,valence,0.2,0.0,0.9876618805054996,0.0073259752462063
olmo_base,olmo,base,arousal,0.2,0.0,0.9876618805054996,0.0087972632905223
olmo_base,olmo,base,valence,0.2666666666666666,0.0,0.9794136012317284,0.0096372858784798
olmo_base,olmo,base,arousal,0.2666666666666666,0.0,0.9794136012317284,0.042557888285188
olmo_base,olmo,base,valence,0.3333333333333333,0.0,0.9698122079349114,0.0351138364926011
olmo_base,olmo,base,arousal,0.3333333333333333,0.0,0.9698122079349114,0.0449937852292412
olmo_base,olmo,base,valence,0.4,0.0,0.9663789955658904,0.0779741978465407
olmo_base,olmo,base,arousal,0.4,0.0,0.9663789955658904,0.1164637409935693
olmo_base,olmo,base,valence,0.4666666666666667,0.0,0.9668661603169284,0.0923785491121558
olmo_base,olmo,base,arousal,0.4666666666666667,0.0,0.9668661603169284,0.0639926765403338
olmo_base,olmo,base,valence,0.5333333333333333,0.0,0.9279010661058515,0.1125726022888303
olmo_base,olmo,base,arousal,0.5333333333333333,0.0,0.9279010661058515,0.2699322511110922
olmo_base,olmo,base,valence,0.6,0.0,0.9009214416447808,0.3001445396663799
olmo_base,olmo,base,arousal,0.6,0.0,0.9009214416447808,0.3788881761369533
olmo_base,olmo,base,valence,0.6666666666666666,0.0,0.8928100048279909,0.3001962526730581
olmo_base,olmo,base,arousal,0.6666666666666666,0.0,0.8928100048279909,0.2083175435082666
olmo_base,olmo,base,valence,0.7333333333333333,0.0,0.8662655453622079,0.7072845866692077
olmo_base,olmo,base,arousal,0.7333333333333333,0.0,0.8662655453622079,0.2674389765867907
olmo_base,olmo,base,valence,0.8,0.0,0.8206021704882842,0.5165987128844343
olmo_base,olmo,base,arousal,0.8,0.0,0.8206021704882842,0.2095638927397621
olmo_base,olmo,base,valence,0.8666666666666667,0.0,0.7853025257939712,0.1566954642086139
olmo_base,olmo,base,arousal,0.8666666666666667,0.0,0.7853025257939712,0.1977158309405496
olmo_base,olmo,base,valence,0.9333333333333332,0.0,0.7941844568980099,0.0715068065705069
olmo_base,olmo,base,arousal,0.9333333333333332,0.0,0.7941844568980099,0.0691080800860479
olmo_base,olmo,base,valence,1.0,0.0,0.8061658189640897,0.0164909429251199
olmo_base,olmo,base,arousal,1.0,0.0,0.8061658189640897,0.0243101036897982
olmo_instruct,olmo,instruct,valence,0.0,0.0,0.9748240767635596,0.0386816022601497
olmo_instruct,olmo,instruct,arousal,0.0,0.0,0.9748240767635596,0.0110491447012208
olmo_instruct,olmo,instruct,valence,0.0666666666666666,0.0,0.9692059629208848,0.0270349612554344
olmo_instruct,olmo,instruct,arousal,0.0666666666666666,0.0,0.9692059629208848,0.0066871617406849
olmo_instruct,olmo,instruct,valence,0.1333333333333333,0.0,0.9856609117478892,-0.0012433985373881
olmo_instruct,olmo,instruct,arousal,0.1333333333333333,0.0,0.9856609117478892,0.0288781417654516
olmo_instruct,olmo,instruct,valence,0.2,0.0,0.9614070750989048,0.1143518021102871
olmo_instruct,olmo,instruct,arousal,0.2,0.0,0.9614070750989048,0.0193660445414155
olmo_instruct,olmo,instruct,valence,0.2666666666666666,0.0,0.9653307834468894,0.044339187651084
olmo_instruct,olmo,instruct,arousal,0.2666666666666666,0.0,0.9653307834468894,0.0212890956523388
olmo_instruct,olmo,instruct,valence,0.3333333333333333,0.0,0.9476381146908256,0.0083698836635949
olmo_instruct,olmo,instruct,arousal,0.3333333333333333,0.0,0.9476381146908256,0.0187093794275126
olmo_instruct,olmo,instruct,valence,0.4,0.0,0.9258498188802108,0.0827052914664284
olmo_instruct,olmo,instruct,arousal,0.4,0.0,0.9258498188802108,0.0442276854481763
olmo_instruct,olmo,instruct,valence,0.4666666666666667,0.0,0.94015392504203,0.052037333877121
olmo_instruct,olmo,instruct,arousal,0.4666666666666667,0.0,0.94015392504203,0.0734090561889634
olmo_instruct,olmo,instruct,valence,0.5333333333333333,0.0,0.9376571805715403,0.0803440598908437
olmo_instruct,olmo,instruct,arousal,0.5333333333333333,0.0,0.9376571805715403,0.0703131255363295
olmo_instruct,olmo,instruct,valence,0.6,0.0,0.9420280847232192,0.189629293760539
olmo_instruct,olmo,instruct,arousal,0.6,0.0,0.9420280847232192,0.1066755108604061
olmo_instruct,olmo,instruct,valence,0.6666666666666666,0.0,0.936374682260438,0.0758114910355192
olmo_instruct,olmo,instruct,arousal,0.6666666666666666,0.0,0.936374682260438,0.0759667859512948
olmo_instruct,olmo,instruct,valence,0.7333333333333333,0.0,0.93211907881424,0.029632354367964
olmo_instruct,olmo,instruct,arousal,0.7333333333333333,0.0,0.93211907881424,0.1188927220906426
olmo_instruct,olmo,instruct,valence,0.8,0.0,0.9151870915705584,0.0837613522898452
olmo_instruct,olmo,instruct,arousal,0.8,0.0,0.9151870915705584,0.0373333564891127
olmo_instruct,olmo,instruct,valence,0.8666666666666667,0.0,0.9153511489393118,0.0185244303731826
olmo_instruct,olmo,instruct,arousal,0.8666666666666667,0.0,0.9153511489393118,0.0109015850335202
olmo_instruct,olmo,instruct,valence,0.9333333333333332,0.0,0.904006932435624,0.0171900135495702
olmo_instruct,olmo,instruct,arousal,0.9333333333333332,0.0,0.904006932435624,0.0469023672264585
olmo_instruct,olmo,instruct,valence,1.0,0.0,0.898360640166684,0.0143503305525669
olmo_instruct,olmo,instruct,arousal,1.0,0.0,0.898360640166684,0.0283348854693716
qwen_base,qwen,base,valence,0.0,0.0,0.9725929367306352,0.0003218341789502
qwen_base,qwen,base,arousal,0.0,0.0,0.9725929367306352,0.0077566561174008
qwen_base,qwen,base,valence,0.037037037037037,0.0,0.9879164835465905,0.0117515154707971
qwen_base,qwen,base,arousal,0.037037037037037,0.0,0.9879164835465905,0.0009255731615032
qwen_base,qwen,base,valence,0.074074074074074,0.0,0.9832916894098808,0.0147660093921778
qwen_base,qwen,base,arousal,0.074074074074074,0.0,0.9832916894098808,0.002147382326638
