id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
B-vigilance-d3-v2,res_15,4.0234375,4.1484375,4.078125,0.886146119454474,0.7999323537495768,0.8616357310633342,0.125,0.0546875,-0.08621376570489714,-0.024510388391139726,0.1112060546875,0.1187744140625,0.1170654296875
Bm-grief-d1-v1,res_15,5.8828125,5.98046875,5.9921875,0.8384173731317909,0.8646155514733578,0.8759548196848244,0.09765625,0.109375,0.026198178341566902,0.03753744655303348,0.1065673828125,0.1021728515625,0.103271484375
Bm-grief-d2-v1,res_15,3.033203125,3.099609375,3.08984375,0.9817722061068461,0.9191464704151,0.93493091035501,0.06640625,0.056640625,-0.06262573569174612,-0.046841295751836154,0.062042236328125,0.06695556640625,0.06610107421875
Bm-grief-d3-v1,res_15,5.54296875,5.609375,5.62890625,1.0454911905656843,1.0486780016136956,1.0664139934098285,0.06640625,0.0859375,0.0031868110480113288,0.02092280284414416,0.1641845703125,0.1656494140625,0.1717529296875
Bm-terror-d2-v1,res_15,5.2734375,5.3671875,5.3671875,1.0194060454202645,1.048362293514041,1.048362293514041,0.09375,0.09375,0.028956248093776615,0.028956248093776615,0.1595458984375,0.1575927734375,0.1575927734375
Bm-ecstasy-d2-v1,res_15,5.6328125,5.7265625,5.75390625,1.1989097507379678,1.2877820625984562,1.3138013457914803,0.09375,0.12109375,0.08887231186048838,0.11489159505351254,0.1014404296875,0.09979248046875,0.10223388671875
Bm-loathing-d3-v1,res_15,1.998046875,2.009765625,2.0078125,1.6048530256568623,1.5933749467893474,1.5949332199438175,0.01171875,0.009765625,-0.01147807886751484,-0.009919805713044738,0.00891876220703125,0.010040283203125,0.0092315673828125
Bm-amazement-d1-v2,res_15,7.29296875,7.3125,7.3125,1.5978297552835814,1.6168747749720227,1.6147604345164375,0.01953125,0.01953125,0.0190450196884413,0.016930679232856072,0.0091552734375,0.00829315185546875,0.00835418701171875
Bm-amazement-d3-v1,res_15,5.74609375,5.87109375,5.82421875,1.0085849257002484,1.1211278915869114,1.0740769261390732,0.125,0.078125,0.11254296588666302,0.06549200043882486,0.1107177734375,0.10955810546875,0.11004638671875
Bm-vigilance-d1-v1,res_15,5.81640625,5.88671875,5.890625,1.1429910447733191,1.210688917410839,1.218880196388563,0.0703125,0.07421875,0.06769787263751992,0.07588915161524379,0.1478271484375,0.1446533203125,0.1495361328125
Bm-vigilance-d3-v2,res_15,4.89453125,4.9765625,4.96875,0.7767114963009526,0.7922376900374292,0.7845133403073642,0.08203125,0.07421875,0.015526193736476568,0.007801844006411596,0.185791015625,0.1923828125,0.191162109375
N-grief-d1-c1,res_15,6.48046875,6.53125,6.546875,1.4010193604616306,1.4552208215908324,1.4694085705643554,0.05078125,0.06640625,0.05420146112920188,0.0683892101027248,0.07177734375,0.0687255859375,0.06646728515625
N-grief-d2-c1,res_15,6.4609375,6.53125,6.5234375,1.4365799955616874,1.502562209309638,1.4933303857575382,0.0703125,0.0625,0.06598221374795066,0.05675039019585082,0.0782470703125,0.07415771484375,0.074462890625
N-grief-d3-c1,res_15,6.81640625,6.84765625,6.8515625,1.3854496861857397,1.4149391665126427,1.4163704802886352,0.03125,0.03515625,0.029489480326903017,0.0309207941028955,0.0279541015625,0.0257110595703125,0.02447509765625
N-terror-d2-c1,res_15,6.66796875,6.71484375,6.7265625,1.0477793928305497,1.103901771284863,1.0987299472516543,0.046875,0.05859375,0.05612237845431345,0.05095055442110463,0.046234130859375,0.04345703125,0.0438232421875
N-ecstasy-d2-c1,res_15,6.5703125,6.6171875,6.6171875,1.1059136111694634,1.1558282143338818,1.1498275625300822,0.046875,0.046875,0.049914603164418425,0.04391395136061882,0.0643310546875,0.061492919921875,0.06005859375
N-loathing-d3-c1,res_15,6.77734375,6.80859375,6.83203125,1.1432683158750407,1.1758635052393949,1.1958639533938342,0.03125,0.0546875,0.03259518936435413,0.05259563751879348,0.037353515625,0.03509521484375,0.03314208984375
N-amazement-d1-c2,res_15,6.28125,6.33203125,6.328125,1.507448066951244,1.5614139239585825,1.5570160688108092,0.05078125,0.046875,0.05396585700733847,0.049568001859565225,0.09637451171875,0.09417724609375,0.09271240234375
N-amazement-d3-c1,res_15,6.3046875,6.359375,6.359375,1.432919083357306,1.4856760046987838,1.4874239751015388,0.0546875,0.0546875,0.0527569213414778,0.054504891744232786,0.09906005859375,0.09710693359375,0.09466552734375
N-vigilance-d1-c1,res_15,6.140625,6.19140625,6.20703125,1.1623901116807227,1.2113333430462698,1.2278213572177492,0.05078125,0.06640625,0.048943231365547124,0.0654312455370265,0.10723876953125,0.10577392578125,0.10235595703125
N-vigilance-d3-c2,res_15,7.20703125,7.21875,7.2265625,1.7236717436969085,1.7333165543969469,1.7387430902007073,0.01171875,0.01953125,0.00964481070003842,0.015071346503798821,0.0109710693359375,0.010223388671875,0.0092010498046875
B-grief-d1-v1,res_16,7.3828125,7.359375,7.375,2.1129619657532714,2.086309111386075,2.1076812577837982,-0.0234375,-0.0078125,-0.026652854367196444,-0.0052807079694732195,0.0145416259765625,0.0140838623046875,0.01323699951171875
B-grief-d2-v1,res_16,4.10546875,4.1171875,4.24609375,0.7477898290330849,0.758985691258772,0.6933015418687886,0.01171875,0.140625,0.011195862225687137,-0.05448828716429632,0.08367919921875,0.08551025390625,0.08660888671875
B-grief-d3-v1,res_16,6.78125,6.79296875,6.76953125,1.3312548552416656,1.3513559731971716,1.3483800229659078,0.01171875,-0.01171875,0.020101117955505954,0.017125167724242107,0.032928466796875,0.03167724609375,0.032562255859375
B-terror-d2-v1,res_16,5.02734375,5.0546875,5.109375,0.604821105866622,0.6207872656458862,0.6423127607979404,0.02734375,0.08203125,0.01596615977926419,0.03749165493131845,0.09246826171875,0.09124755859375,0.0894775390625
