model,family,alignment,axis,layer,relative_depth,within_reader_r2,within_self_r2,cross_r_to_s,cross_s_to_r,direct_mean,rsa,aligned_r2,alignment_gain
llama_instruct,llama,instruct,arousal,8,0.5333333333333333,-1.424584295028016,-1.3824612590247436,-18.15635480563152,-5.0420855238782,0.0,0.908752174652553,0.0768538334829146,0.1480246249661913
llama_instruct,llama,instruct,valence,9,0.6,-0.534296099803008,-0.4899366339343429,-4.232254393494883,-14.74537276502,0.0,0.8949439482827742,0.2872190172863822,0.2821884548006578
llama_instruct,llama,instruct,arousal,9,0.6,-1.3231392135221212,-1.391163048897213,-12.411521418293985,-9.96474283127694,0.0,0.8949439482827742,0.0527677070955571,0.1823949835551493
llama_instruct,llama,instruct,valence,10,0.6666666666666666,-0.4056377052079289,-0.5314208385392789,-4.077408135923933,-16.210637094105124,0.0,0.843323362058906,0.2446931035515628,0.13376716558276
llama_instruct,llama,instruct,arousal,10,0.6666666666666666,-1.2192869580498056,-1.29761040782611,-19.362698399941134,-12.303036420994836,0.0,0.843323362058906,0.0484550009537,0.3036115268347478
llama_instruct,llama,instruct,valence,11,0.7333333333333333,-0.6034268069507649,-0.6818656827622898,-9.881565480837228,-22.97726056046184,0.0,0.8311758089514875,0.2417903739767978,0.2792933996026979
llama_instruct,llama,instruct,arousal,11,0.7333333333333333,-1.155319723718121,-1.6367199457959458,-33.761658690857466,-15.475114819637362,0.0,0.8311758089514875,0.0210085039949535,0.6494502104993117
llama_instruct,llama,instruct,valence,12,0.8,-0.5878655090743485,-0.672441815902143,-9.447243168245056,-19.489452166747498,0.0,0.8249943739649316,0.2286987118084631,0.3452562650550006
llama_instruct,llama,instruct,arousal,12,0.8,-1.8193412997734453,-1.544200419554267,-27.345623008387133,-11.436400405301072,0.0,0.8249943739649316,0.0118922331393412,1.1516196680467576
llama_instruct,llama,instruct,valence,13,0.8666666666666667,-0.6412923034472706,-0.6570803311979303,-7.159160546328929,-8.641564608763394,0.0,0.8213921658096461,0.1842342163665328,1.0105971326065952
llama_instruct,llama,instruct,arousal,13,0.8666666666666667,-2.289544872796161,-1.590056949706674,-26.802118443123994,-13.536349260250564,0.0,0.8213921658096461,-0.0163341444745452,1.272266288604921
llama_instruct,llama,instruct,valence,14,0.9333333333333332,-0.6291754367027891,-0.8077809137418697,-8.63523922977265,-6.530042636431235,0.0,0.8218912407940678,0.1818032825862348,0.5252311914800816
llama_instruct,llama,instruct,arousal,14,0.9333333333333332,-1.9597996247688192,-1.4933457372704937,-38.30344222317072,-11.038832188984262,0.0,0.8218912407940678,-0.0330365626076754,1.5332836088417985
llama_instruct,llama,instruct,valence,15,1.0,-0.9658433399057008,-0.9820234263664204,-20.77050299482048,-14.748154241667644,0.0,0.8021306292557462,0.1355532108064566,1.1282292237268297
llama_instruct,llama,instruct,arousal,15,1.0,-1.7529007458465893,-1.6987239979185145,-36.06061423460778,-11.280517665582051,0.0,0.8021306292557462,-0.0178860240457172,1.3682190247769417
olmo_base,olmo,base,valence,0,0.0,-5.292273531793866,-4.2900522909382985,-5.642671842401427,-5.34870309403822,0.0,0.9884893950267026,0.0471426121374031,0.0274999901936281
olmo_base,olmo,base,arousal,0,0.0,-4.058769241976265,-3.0326261843043287,-4.011325135444258,-3.282488165221688,0.0,0.9884893950267026,-0.0086930112798424,0.0037725306788123
olmo_base,olmo,base,valence,1,0.0666666666666666,-1.7890455248161534,-1.5253947288846956,-2.19350020962386,-1.6687924958732667,0.0,0.9914758527873808,0.111854412880168,0.0132560186973371
olmo_base,olmo,base,arousal,1,0.0666666666666666,-2.335057440913796,-2.633197412028783,-3.1732609034782406,-4.271354924302049,0.0,0.9914758527873808,0.0237546383654927,0.0176390355040957
olmo_base,olmo,base,valence,2,0.1333333333333333,-1.2423943324758544,-1.146446810804412,-2.1040813255636213,-1.6337474333099795,0.0,0.9894003423977652,0.0983623555678961,0.0133764097801634
olmo_base,olmo,base,arousal,2,0.1333333333333333,-2.1483561316293835,-2.1898311658452085,-4.548457531482908,-3.5498930253489647,0.0,0.9894003423977652,0.0090627122476968,0.0183788392587945
olmo_base,olmo,base,valence,3,0.2,-1.349480783215351,-1.3059888290506114,-2.6242913334136864,-3.006037245026863,0.0,0.9876618805054996,0.1045562726508774,0.0073259752462063
olmo_base,olmo,base,arousal,3,0.2,-1.5804632011410011,-1.4592587523128495,-5.766086362720371,-5.455031177709124,0.0,0.9876618805054996,0.00936538333879,0.0087972632905223
olmo_base,olmo,base,valence,4,0.2666666666666666,-1.1088738661804889,-1.1725895703730551,-4.112775705437621,-2.126306969887963,0.0,0.9794136012317284,0.1218331296897753,0.0096372858784798
olmo_base,olmo,base,arousal,4,0.2666666666666666,-1.6693127175348614,-1.578949488563112,-5.435415194425235,-3.4507752667734346,0.0,0.9794136012317284,-0.0031215036949059,0.042557888285188
olmo_base,olmo,base,valence,5,0.3333333333333333,-0.7503421511904944,-0.7477938449581374,-5.079235754257608,-2.788132790240795,0.0,0.9698122079349114,0.1532255198148949,0.0351138364926011
