model,family,alignment,task,axis,n_triplets,step1_mean,step1_ci_low,step1_ci_high,step2_mean,step2_ci_low,step2_ci_high,p_step1,p_step2,p_iut,q_iut,monotonicity_rate,secondary_slope
olmo_base,olmo,base,self,dominance,48,-0.0010319112858549,-0.0035910138651583,0.0017358605483879,-0.0014432729186718,-0.0042302516898008,0.0012912473271944,0.7668358731980837,0.8478366606635253,0.8478366606635253,,0.125,-0.0006857508367374
olmo_instruct,olmo,instruct,writer,valence,48,0.005518456027582,-0.0050905863285018,0.0163458026763182,0.0070130572694483,-0.003719117646964,0.018570650055089,0.1438793859107888,0.1053329427550857,0.1438793859107888,,0.1875,-0.00061697529798
olmo_instruct,olmo,instruct,reader,valence,48,0.0047316067674833,-0.0040892532044073,0.0132257734236993,0.0055897729739947,-0.0028636400957546,0.0147287197417265,0.1450578081597334,0.1099951789238011,0.1450578081597334,0.9997596565981772,0.2291666666666666,-0.001176945773079
olmo_instruct,olmo,instruct,self,valence,48,0.003586003993272,-0.0063410335175189,0.0133625791379474,0.0070628189829218,-0.0037730264966604,0.0184056219495753,0.2295826924291256,0.1007474178757448,0.2295826924291256,0.9997596565981772,0.25,-0.0032014991074877
olmo_instruct,olmo,instruct,writer,arousal,48,-0.0414437224177354,-0.0690371831545887,-0.0120568049616783,0.0082539315728803,-0.0174423478938611,0.0339680514027184,0.9964942277400072,0.279463920937208,0.9964942277400072,,0.0208333333333333,-0.0244999439729931
olmo_instruct,olmo,instruct,reader,arousal,48,-0.0290622909436084,-0.0539933560768678,-0.0027321754520062,0.0163110601324562,-0.0083365109732004,0.041879673507549,0.9811793940896985,0.1162022905908506,0.9811793940896985,0.9997596565981772,0.0625,-0.0129452632551402
olmo_instruct,olmo,instruct,self,arousal,48,-0.0347890576096311,-0.0608391509862431,-0.0072210337052463,0.006920753647287,-0.0175544331330332,0.0315140171408928,0.9912928784429548,0.3030735373060078,0.9912928784429548,0.9997596565981772,0.0833333333333333,-0.0209094346527401
olmo_instruct,olmo,instruct,writer,dominance,48,0.0066523562997541,-0.0188162409706296,0.0314983687004098,0.0048189119942342,-0.0260912038911625,0.0326492575794933,0.3093395523363523,0.3746911478143306,0.3746911478143306,,0.1458333333333333,0.003860461766298
olmo_instruct,olmo,instruct,reader,dominance,48,0.0086127059766802,-0.0174807660116183,0.0348747147196805,0.0079933138440993,-0.0205384254435672,0.0354789742927189,0.2631861761797885,0.2936114206087524,0.2936114206087524,,0.1666666666666666,0.0025602661246976
olmo_instruct,olmo,instruct,self,dominance,48,0.0097236299845635,-0.0111853884068441,0.0308794819803743,0.0016707150439756,-0.025430864894867,0.0256404761798254,0.1876392933723461,0.4489141608510932,0.4489141608510932,,0.1875,0.0032929797546012
qwen_base,qwen,base,writer,valence,48,0.0029021909910076,-0.0025303536284186,0.008982631338627,0.0016608919580112,-0.0052046808155609,0.008279170269631,0.1748886478387474,0.3168418930224427,0.3168418930224427,,0.1458333333333333,-0.0014084645022516
qwen_base,qwen,base,reader,valence,48,0.0041265149894077,-0.0019786321056833,0.0104272498600951,-0.0029694977224445,-0.0097636605554005,0.0035781950989698,0.1083532528368535,0.8090178663682306,0.8090178663682306,0.9997596565981772,0.2291666666666666,-0.0032682795517777
qwen_base,qwen,base,self,valence,48,0.0030539559487633,-0.0017114361321928,0.0078260957179484,0.0014412907462859,-0.0037663490702399,0.0064889055896598,0.109996309476441,0.2874412566440493,0.2874412566440493,0.9997596565981772,0.1666666666666666,0.0008035385406316
qwen_base,qwen,base,writer,arousal,48,-0.0023284841695564,-0.0094563900378392,0.0048171710408083,0.0142414838146472,0.0072406459148713,0.0210631075063559,0.7265683996548072,0.0001351398086178,0.7265683996548072,,0.2916666666666667,0.0042570051141737
qwen_base,qwen,base,reader,arousal,48,0.0034370095410103,-0.0037584162679382,0.0108437625361076,0.0162994392917014,0.0083581109838281,0.0246656551204358,0.1854952057681196,0.0001115061927315,0.1854952057681196,0.9997596565981772,0.2916666666666667,0.0083435827154831
qwen_base,qwen,base,self,arousal,48,-0.0028012798273144,-0.0091909571427357,0.0033172034976511,0.0092139878869648,0.0032628826765953,0.0155030113134858,0.7924506915804128,0.0032485345025489,0.7924506915804128,0.9997596565981772,0.2291666666666666,0.0010405350364058
qwen_base,qwen,base,writer,dominance,48,-0.0052345971071987,-0.0116664837859685,0.0007661610656515,-0.0017645908343858,-0.0071145784556259,0.0035164785154972,0.9438444768824528,0.7463904452579444,0.9438444768824528,,0.1458333333333333,-0.0088532788600281
qwen_base,qwen,base,reader,dominance,48,-0.0052922337460676,-0.0104720564134472,-3.826637717983356e-05,-0.0003671955280945,-0.0051828899469363,0.004311875683251,0.9692395155855424,0.5614558734898728,0.9692395155855424,,0.1041666666666666,-0.0072789187312696
qwen_base,qwen,base,self,dominance,48,-0.0065105142314329,-0.0130745364421934,-0.0004564638912906,-0.0029704945679471,-0.0083201019953741,0.0023679148543464,0.9712580157569262,0.859361325754874,0.9712580157569262,,0.125,-0.0106431329600304
qwen_instruct,qwen,instruct,writer,valence,48,0.020642365264518,0.0044176811177193,0.0371740535915485,-0.0026703815313652,-0.0178296398816769,0.0130814787480792,0.0082378632974755,0.630934865821398,0.630934865821398,,0.1458333333333333,-0.0052777226853006
qwen_instruct,qwen,instruct,reader,valence,48,0.0244216123438579,0.0056764863614759,0.0443733760824981,-0.0072787108819225,-0.023929619557977,0.0105643807736987,0.0098372163164843,0.7950778224749118,0.7950778224749118,0.9997596565981772,0.2291666666666666,-0.0148209670983385
qwen_instruct,qwen,instruct,self,valence,48,0.0199165664397855,0.00703121219806,0.0340388059061068,-0.0012177932016236,-0.0140789258377294,0.011986072295479,0.0029978887227502,0.5710716221224755,0.5710716221224755,0.9997596565981772,0.1875,-0.0044113291388551
qwen_instruct,qwen,instruct,writer,arousal,48,0.0020142867753279,-0.010665440098364,0.0139585933452551,0.0435477109556018,0.0267169415187288,0.0604719464601296,0.3823310090670175,3.941527274205681e-06,0.3823310090670175,,0.3958333333333333,0.0225878801988628
qwen_instruct,qwen,instruct,reader,arousal,48,0.0212609787666921,0.0054237915903785,0.0363324374439492,0.0620152957214159,0.0398971860996162,0.0842940010289942,0.0059485103595411,7.396427944363192e-07,0.0059485103595411,0.0951761657526591,0.4791666666666667,0.043248861702123
qwen_instruct,qwen,instruct,self,arousal,48,-0.0005849759627114,-0.0122025011604646,0.0110854474017421,0.0419277621089654,0.0262582930839613,0.0573079254422755,0.5370266745868788,1.4231267169911405e-06,0.5370266745868788,0.9997596565981772,0.3333333333333333,0.0200619787765412
qwen_instruct,qwen,instruct,writer,dominance,48,-0.0017209691600847,-0.0077932599337285,0.0042678733148482,0.0031133590491375,-0.0028353184248721,0.0089965821509252,0.7022986362735233,0.1736082247515397,0.7022986362735233,,0.125,0.0038405427322429
qwen_instruct,qwen,instruct,reader,dominance,48,-0.0033614040976288,-0.0105224317933773,0.003707271614141,0.0059395145098845,-0.0015175351368285,0.0128422173416201,0.8246058615701202,0.0669942682118998,0.8246058615701202,,0.1666666666666666,0.0078451064719028
qwen_instruct,qwen,instruct,self,dominance,48,-0.0042308625090619,-0.0123222214571551,0.0031047292203791,0.0016302062258906,-0.0059997512332192,0.0090444360496055,0.8519352942827445,0.3466994252646857,0.8519352942827445,,0.125,0.0008998903209447
