model,task,task_label,dimension,dim_label,n,r_continuous,p_continuous,rho_continuous,r_greedy,p_greedy,mae,rmse,pred_mean,pred_std,human_mean,human_std
olmo_instruct,self,Self-Report (S),V,Valence,1000,0.42734152196166997,1.1720387348711547e-45,0.44562694493480676,0.06265186137851801,0.04762560752158242,2.450338328479943,2.4817953441073213,5.428538328479942,0.25547432280692617,2.9781999999999997,0.42823937231412995
olmo_instruct,self,Self-Report (S),A,Arousal,1000,0.07559871878762295,0.016799179461308506,0.06773956561808728,0.020991066964875304,0.5073057993773532,3.0556331152470113,3.1213868087884147,6.106083115247011,0.5793191459975792,3.0504499999999997,0.3129969608478651
olmo_instruct,self,Self-Report (S),D,Dominance,1000,0.14186238772435575,6.6917326993903525e-06,0.12362961744578946,0.09061781590404015,0.00413199487142109,2.487562898739146,2.543856371267476,5.5304828987391454,0.49083715953568474,3.04292,0.28680284796354444
qwen_base,writer,Writer-State Estimation (W),V,Valence,1000,0.37845214309275554,2.0987544605783124e-35,0.4058104802032424,0.1358412872436846,1.6303315726828528e-05,1.602624965435488,1.656241865575586,4.579044965435489,0.40724953226707333,2.97642,0.33476914971364974
qwen_base,writer,Writer-State Estimation (W),A,Arousal,1000,0.15923064654736896,4.163146996352015e-07,0.15199655083811506,0.06141127676098202,0.0522099253975328,1.78921433931303,1.8749901976845198,4.806093546862261,0.5234094446086054,3.0173400000000004,0.30456119976123025
qwen_base,writer,Writer-State Estimation (W),D,Dominance,1000,0.08828376637734028,0.005210193243354724,0.09719840181451248,0.0536586793116828,0.08989799183299571,2.1617505941762936,2.2105307033438146,5.2533705941762925,0.41040504331976435,3.09162,0.25108280626120144
qwen_base,reader,Reader-Response Prediction (R),V,Valence,1000,0.44338366268301227,2.0780630822777572e-49,0.47631495693778075,0.19703680798815087,3.2834427890602046e-10,1.8374305849341395,1.8901042134724835,4.81563058493414,0.41124753051402585,2.9781999999999997,0.42823937231412995
qwen_base,reader,Reader-Response Prediction (R),A,Arousal,1000,0.2517935912735974,6.317511279649478e-16,0.2151279857934751,0.13770520999281355,1.2424141535954043e-05,1.8245922124805025,1.9016543147802374,4.8739999936907425,0.5251273002068956,3.0504499999999997,0.3129969608478651
qwen_base,reader,Reader-Response Prediction (R),D,Dominance,1000,0.2001715099337492,1.6938280061944625e-10,0.20298706352593573,0.10882224738136093,0.000566429990352306,2.3045644709296584,2.3482831902494126,5.3474844709296585,0.41019375505407923,3.04292,0.28680284796354444
qwen_base,self,Self-Report (S),V,Valence,1000,0.3854448786806462,9.093817098145504e-37,0.41466588695246664,0.14995966077134767,1.9057684547364045e-06,1.5353040218298206,1.5927840010848533,4.513504021829821,0.3188780188671032,2.9781999999999997,0.42823937231412995
qwen_base,self,Self-Report (S),A,Arousal,1000,0.23261478434792154,9.395108374674185e-14,0.19820230841224556,0.11250054193050878,0.00036461843281375005,1.9116249069385858,1.9779627556837174,4.961944025597689,0.48006822642697206,3.0504499999999997,0.3129969608478651
qwen_base,self,Self-Report (S),D,Dominance,1000,0.1972289315869289,3.153889319277805e-10,0.1939006908650603,0.09667100561866519,0.002210767663872686,2.3102421333073786,2.349625553772514,5.353162133307378,0.3797768134354261,3.04292,0.28680284796354444
qwen_instruct,writer,Writer-State Estimation (W),V,Valence,1000,0.4566144325533168,1.1721529066371067e-52,0.4784110379164213,0.3322061359643176,3.428769274220184e-27,1.9768688089111122,2.0458747564955457,4.952793997772513,0.5897188305711459,2.97642,0.33476914971364974
qwen_instruct,writer,Writer-State Estimation (W),A,Arousal,1000,0.14046728534795128,8.252265081869505e-06,0.11111822913406154,0.04647900189593207,0.14190044922988568,1.1875195586513432,1.3204692905442095,4.180080318507876,0.591184731314078,3.0173400000000004,0.30456119976123025
qwen_instruct,writer,Writer-State Estimation (W),D,Dominance,1000,0.014623411841755389,0.6441679450078333,0.035386967967720645,0.038046789633059054,0.22933425029261514,1.4331267086637955,1.5015306015557266,4.521627416365891,0.3866127300478679,3.09162,0.25108280626120144
qwen_instruct,reader,Reader-Response Prediction (R),V,Valence,1000,0.5313626216465563,5.988894694330948e-74,0.550547844610012,0.3947120124254338,1.2604192732802006e-38,1.9950153828715105,2.0668718154857446,4.9723016128527675,0.6324060263635091,2.9781999999999997,0.42823937231412995
qwen_instruct,reader,Reader-Response Prediction (R),A,Arousal,1000,0.2753687817337344,7.376810211990653e-19,0.2259136927856857,0.09784359871940831,0.0019506059956944865,1.086025878558396,1.2358889039578027,4.105803098922228,0.6546196822679696,3.0504499999999997,0.3129969608478651
qwen_instruct,reader,Reader-Response Prediction (R),D,Dominance,1000,0.06022836749034029,0.05691869058444799,0.07267266989831009,0.1538881919036585,1.0112436925052251e-06,1.2695685491163813,1.3558665991663965,4.303930599267597,0.4250346380568633,3.04292,0.28680284796354444
qwen_instruct,self,Self-Report (S),V,Valence,1000,0.48070123965942,5.962598752618538e-59,0.4851102200287257,0.4062469732712122,5.050761714990686e-41,2.1434624942792087,2.1915039431841263,5.121662494279209,0.46517251395799586,2.9781999999999997,0.42823937231412995
qwen_instruct,self,Self-Report (S),A,Arousal,1000,0.23627515046784192,3.739110124010061e-14,0.1805557985061116,-0.0023685763627784807,0.9403679650919293,1.3058655709939462,1.4346843569575294,4.348094544245881,0.6049334877840311,3.0504499999999997,0.3129969608478651
qwen_instruct,self,Self-Report (S),D,Dominance,1000,0.11667853751456403,0.00021754377816507654,0.12303657872454116,0.16895489748799225,7.665697801909801e-08,1.3699337720621827,1.4453590608610791,4.409175006661965,0.4093281002481839,3.04292,0.28680284796354444
