layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp,fdr_q_joint_168_iso,fdr_q_joint_168_perp,fdr_sig_joint_168
10,mlp,False,0.0064486544341794,-0.4232079687481553,0.0079916448596545,0.0068643154690774,-0.3161462701185327,0.7619047619047619,0.0066045328756918,0.0004930579805796,-0.4272008259737208,0.5714285714285714,0.006642786156243,0.0004544273097345,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.9343065693430657,0.897196261682243,False
10,attn,False,0.0069767629147551,-2.388730577565564,0.0075510310474333,0.0074982660970569,0.3508836315738937,0.238095238095238,0.0067953825115269,0.0005169246636401,0.5185850714260934,0.2857142857142857,0.0067520429387892,0.0004333329059164,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
10,resid,False,0.0080279519310902,-0.2712347550172097,0.0073382091471463,0.0084412076552618,2.529493716729465,0.0476190476190476,0.0068328157666921,0.0004724803847085,1.7840707829810591,0.0952380952380952,0.0069292650160469,0.0006158314600093,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
11,mlp,False,0.0057210409620947,-0.1208301841501187,0.0064234909763117,0.0069962321139451,-1.1453038983448929,0.9523809523809524,0.0063715678375651,0.0005679949892867,-1.5302687485016069,0.9523809523809524,0.0063738902752865,0.0004266239598966,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876544,False,0.9876543209876544,False,0.9876543209876543,0.9876543209876543,False
11,attn,False,0.006263698414163,-1.178286860739461,0.0068249644828469,0.0062924803157964,-0.24310584052784,0.5238095238095238,0.0063713376380988,0.0004427669187301,-0.2094335801721889,0.5714285714285714,0.0063567368186053,0.0004442382370862,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
11,resid,False,0.0068376703361715,0.6065019821076277,0.0065010014519141,0.0077865896937099,0.1948476664595175,0.3333333333333333,0.0067313983595475,0.0005454105689588,0.3784806009077707,0.3333333333333333,0.0066111464669833,0.0005985085329204,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
12,mlp,False,0.0070665221747461,-0.2022550731355728,0.0078400875244913,0.0069892053603515,1.940015392538432,0.0952380952380952,0.0062498143462686,0.0004209800765595,1.337024941025637,0.1428571428571428,0.0063366715613767,0.0005458765883675,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
12,attn,False,0.0063474938660675,-0.2478817648199655,0.0068170422755188,0.007123733261419,0.3279201388813846,0.3333333333333333,0.0062419480037745,0.0003218645327882,0.4949433410162622,0.3333333333333333,0.0061697203522343,0.000359179524404,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
12,resid,False,0.0061374813549896,-1.0295921481767945,0.0069352003614402,0.0081534965951078,-0.8934444894565671,0.7619047619047619,0.0065338377542216,0.0004436273365713,-0.5238118824134639,0.7619047619047619,0.0064018617172775,0.0005047238735207,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.9411764705882352,False,0.9343065693430657,0.9343065693430657,False
13,mlp,False,0.0064561454846801,-2.1612792375495635,0.0070411968537801,0.0071250969566308,0.028526812997297,0.4761904761904761,0.0064447594147845,0.0003991357147617,0.5888238640613762,0.2857142857142857,0.0062280747711782,0.000387332659938,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False,0.897196261682243,0.897196261682243,False
